"Year","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","USA","UT","VA","VT","WA","WI","WV","WY"
1982,0.6337,0.4059,0.4815,0.3601,0.4874,0.4353,0.4811,0.2499,0.4438,0.3554,0.2963,0.4646,0.5018,0.5019,0.4645,0.4685,0.4396,0.2678,0.5192,0.4901,0.3754,0.5628,0.4782,0.6132,0.4326,0.37,0.5636,0.3038,0.5504,0.4853,0.4118,0.4199,0.4432,0.3871,0.4336,0.4414,0.3835,0.5497,0.421,0.5004,0.2971,0.5691,0.3752,0.312,0.4214,0.5514,0.3575,0.4538,0.4562,0.4685,0.404,0.4897
1986,0.5139,0.4308,0.4136,0.3739,0.4336,0.4593,0.4239,0.2828,0.3528,0.4091,0.2849,0.467,0.4507,0.5842,0.3974,0.3944,0.4784,0.2545,0.4544,0.3893,0.3459,0.4974,0.3675,0.4682,0.4042,0.2937,0.5556,0.342,0.6098,0.5026,0.33,0.2879,0.3999,0.3741,0.3501,0.4011,0.3973,0.5494,0.3841,0.4299,0.3149,0.6009,0.3479,0.3191,0.3814,0.4248,0.2909,0.5046,0.4244,0.4449,0.2993,0.5007
1990,0.5344,0.4113,0.4069,0.4182,0.4241,0.4318,0.4787,0.3827,0.3701,0.3861,0.3159,0.4536,0.4845,0.4645,0.4057,0.3683,0.4408,0.3365,0.4718,0.5341,0.3271,0.5732,0.3832,0.576,0.3616,0.202,0.5573,0.419,0.5068,0.5247,0.3619,0.357,0.4005,0.3738,0.3306,0.436,0.4047,0.5408,0.3406,0.5021,0.2999,0.5233,0.2181,0.3528,0.3842,0.4072,0.2555,0.5088,0.3838,0.3896,0.3,0.5116
1994,0.5343,0.3883,0.398,0.3906,0.4686,0.4215,0.4911,0.4459,0.388,0.4288,0.3104,0.4562,0.48,0.5272,0.38,0.3645,0.4467,0.2771,0.2721,0.5008,0.4052,0.5573,0.4505,0.5449,0.46,0.3194,0.5631,0.3028,0.5044,0.4977,0.3759,0.3811,0.4145,0.3686,0.4268,0.4226,0.4275,0.5477,0.3965,0.5047,0.351,0.6006,0.3862,0.3751,0.4113,0.4147,0.436,0.4953,0.4576,0.424,0.3052,0.5985
1998,0.5463,0.4116,0.3751,0.3148,0.4351,0.4608,0.427,0.3402,0.3338,0.3744,0.3366,0.4897,0.4528,0.4518,0.4097,0.3653,0.3882,0.3908,0.3129,0.4296,0.4301,0.5159,0.4335,0.6192,0.3964,0.276,0.507,0.3578,0.4486,0.4551,0.363,0.3293,0.4158,0.3533,0.3861,0.4133,0.3617,0.4715,0.3333,0.4234,0.3813,0.4902,0.2385,0.2993,0.3809,0.3581,0.2344,0.4904,0.484,0.4632,0.253,0.4995
2002,0.5417,0.4153,0.4128,0.3586,0.3606,0.4633,0.423,0.3015,0.4112,0.4556,0.3544,0.4377,0.4788,0.4466,0.4143,0.3385,0.4405,0.3716,0.394,0.4921,0.4634,0.5077,0.4445,0.6409,0.4561,0.3007,0.484,0.3967,0.4851,0.3993,0.4806,0.3807,0.3858,0.3624,0.3611,0.388,0.4121,0.5078,0.3878,0.4474,0.3695,0.6068,0.3961,0.3425,0.3951,0.3703,0.2899,0.4882,0.4179,0.4543,0.312,0.5006
2006,0.5102,0.3745,0.3865,0.3891,0.4022,0.4726,0.4655,0.2827,0.4226,0.3962,0.347,0.3788,0.4811,0.454,0.4023,0.3656,0.436,0.4043,0.2965,0.4876,0.4665,0.542,0.5212,0.6006,0.5004,0.2941,0.5642,0.3098,0.4487,0.4765,0.4138,0.3947,0.425,0.3689,0.3486,0.4754,0.3637,0.5247,0.4412,0.5105,0.3464,0.5779,0.4136,0.3086,0.4037,0.3432,0.4402,0.5494,0.4731,0.5319,0.3281,0.5114
2010,0.5189,0.4303,0.3754,0.4104,0.44,0.506,0.4589,0.2893,0.4751,0.4175,0.3985,0.3987,0.4995,0.4231,0.4239,0.3714,0.417,0.4241,0.3893,0.4894,0.4643,0.5517,0.4453,0.5541,0.4452,0.3703,0.475,0.392,0.4619,0.3749,0.4566,0.3637,0.4279,0.4129,0.3547,0.4494,0.388,0.5265,0.4169,0.4483,0.3967,0.5289,0.3464,0.321,0.4096,0.3628,0.3869,0.4941,0.5315,0.5204,0.3675,0.4546
2014,0.5425,0.3289,0.4007,0.334,0.2994,0.537,0.4229,0.353,0.3434,0.4277,0.3818,0.3617,0.4978,0.3927,0.4018,0.2778,0.4245,0.4422,0.4395,0.4408,0.4172,0.5813,0.4275,0.5035,0.3174,0.2897,0.4695,0.4081,0.4384,0.4046,0.4759,0.3109,0.3538,0.2931,0.2818,0.3512,0.2994,0.509,0.3608,0.4174,0.3477,0.4428,0.2863,0.2835,0.3596,0.297,0.3664,0.3894,0.4117,0.5657,0.3119,0.3903
